"ID" "Mean" "Parity" "Sex" "Herd" "YearSeason" "dam" "BirthWeight" "DAY115" "BF115" "LMA115" "LEAN115"
"DDTCZZC16207619" 1 3 "母" "育1" 162 "DDTCZZC14201042" 1.5 182.6 9.47 NA NA
"DDTCZZC17213235" 1 4 "公" "育1" 173 "DDTCZZC15204922" 2.1 187.28 9.49 NA NA
"DDTCZZC15203384" 1 0 "母" "育1" 151 "DDTCZZC13020446" 1.9 170.13 11.38 NA NA
"DDTCZZC15205945" 1 5 "母" "育1" 153 "DDTCZZC13020446" 1.1 192.18 8.55 NA NA
"DDTCZZC17217920" 1 5 "公" "育3" 174 "DDTCZZC15203465" 1.6 183.37 10.53 NA NA
"DDTCZZC17217677" 1 1 "母" "育1" 174 "DDTCZZC17212712" 0.6 209.2 13.84 NA NA
"DDTCZZC15202563" 1 1 "母" "育1" 152 "DDTCZZC14201222" 0.8 192.23 12.54 NA NA
"DDTCZZC15202370" 1 4 "公" "育1" 152 "DDTCZZC13020439" 1.6 164.51 9.23 NA NA
"DDTCZZC17217180" 1 2 "母" "育2" 173 "DDTCZZC16207654" 1.4 181.92 15.47 NA NA
"DDTCZZC18218387" 1 1 "公" "育1" 182 "DDTCZZC17210108" 1.7 167.97 6.54 NA NA
"DDTCZZC16208547" 1 0 "公" "育3" 162 "DDTCZZC15202706" 0.8 176.48 8.52 NA NA
"DDTCZZC15203748" 1 3 "母" "育1" 154 "DDTCZZC13020389" 1.5 169.67 11.43 NA NA
"DDTCZZC18216931" 1 2 "母" "育2" 184 "DDTCZZC16208302" 1.9 206.55 11.02 NA NA
"DDTCZZC17213296" 1 5 "母" "育2" 173 "DDTCZZC15201695" 1.5 217.13 9.98 NA NA
"DDTCZZC18216857" 1 3 "母" "育2" 182 "DDTCZZC16214966" 1.4 184.51 9.16 NA NA
"DDTCZZC14200506" 1 0 "母" "育1" 141 "DDTCZZC130A0352" 1.5 180.04 12.16 NA NA
"DDTCZZC14200107" 1 0 "公" "育1" 141 "DDTCZZC13020435" 1.65 156.48 10.91 NA NA
"DDTCZZC15202389" 1 4 "公" "育1" 152 "DDTCZZC13020353" 1.6 175.57 13.43 NA NA
