ID	Sire	Dam	Order
DDTCZZC13020471	DDTCZZC126471MT	DDTCZZC12B989TT	151
DDTCZZC125321CT	DDTCZZC110243UT	DDTCZZC11B921IT	152
DDTCZZC13020356	DDTCZZC126923BT	DDTCZZC125321CT	153
DDTCZZC14202019	DDTCZZC13020471	DDTCZZC13020356	154
DDTCZZC16205389	DDTCZZC14200363	DDTCZZC14202019	155
DDTCZZC14200123	DDTCZZC13020457	DDTCZZC13020428	156
DDTCZZC15203262	DDTCZZC13020469	DDTCZZC14200123	157
DDTCZZC12A166TT			158
DDTCZZC13020380	DDTCZZC12B959BT	DDTCZZC12A166TT	159
DDTCZZC14200548	DDTCZZC13020469	DDTCZZC13020380	160
DDTCZZC13020331	DDTCZZC126923BT	DDTCZZC12B776MT	161
DDTCZZC15202302	DDTCZZC14200548	DDTCZZC13020331	162
DDTCZZC16214780	DDTCZZC15203262	DDTCZZC15202302	163
DDTCZZC15203416	DDTCZZC14200548	DDTCZZC13020331	164
DDTCZZC12D088RT	DDTCZZC11A253OT	DDTCZZC11A742MT	165
DDTCZZC128457DT	DDTCZZC11262SCG	DDTCZZC11B784GT	166
DDTCZZC13020460	DDTCZZC12D088RT	DDTCZZC128457DT	167
DDTCZZC13020346	DDTCZZC12E933HT	DDTCZZC124104VT	168
DDTCZZC15203772	DDTCZZC13020460	DDTCZZC13020346	169
DDTCZZC16212112	DDTCZZC15203416	DDTCZZC15203772	170
DDTCZZC17211198	DDTCZZC16214780	DDTCZZC16212112	171
DDTCZZC13020453	DDTCZZC12E933HT	DDTCZZC127139XT	172
DDTCZZC13020437	DDTCZZC12B959BT	DDTCZZC126933HT	173
DDTCZZC14203535	DDTCZZC13020453	DDTCZZC13020437	174
DDTCZZC127958NT	DDTCZZC110253OT	DDTCZZC113629JT	175
DDTCZZC13020485	DDTCZZC126471MT	DDTCZZC127958NT	176
DDTCZZC127181CT			177
DDTCZZC13020338	DDTCZZC125217KT	DDTCZZC127181CT	178
DDTCZZC14201038	DDTCZZC13020485	DDTCZZC13020338	179
DDTCZZC15206435	DDTCZZC14203535	DDTCZZC14201038	180
DDTCZZC12A334PT	DDTCZZC11A62SCG	DDTCZZC11A661ST	181
DDTCZZC13020378	DDTCZZC126471MT	DDTCZZC12A334PT	182
DDTCZZC15203400	DDTCZZC14200127	DDTCZZC13020378	183
DDTCZZC16207589	DDTCZZC15206435	DDTCZZC15203400	184
DDTCZZC16207028	DDTCZZC14203535	DDTCZZC14200511	185
DDTCZZC12E088RT	DDTCZZC110253OT	DDTCZZC11B742MT	186
DDTCZZC127284ST	DDTCZZC11A528TT	DDTCZZC11C835LT	187
DDTCZZC13020328	DDTCZZC12E088RT	DDTCZZC127284ST	188
DDTCZZC14200315	DDTCZZC13020450	DDTCZZC13020328	189
DDTCZZC13020377	DDTCZZC126471MT	DDTCZZC12A022ET	190
DDTCZZC15202345	DDTCZZC14200315	DDTCZZC13020377	191
DDTCZZC17210069	DDTCZZC16207028	DDTCZZC15202345	192
DDTCZZC13020351	DDTCZZC12A959BT	DDTCZZC12B259AT	193
DDTCZZC14200387	DDTCZZC13020471	DDTCZZC13020351	194
DDTCZZC15202951	DDTCZZC14200363	DDTCZZC14200387	195
DDTCZZC16207268	DDTCZZC15202951	DDTCZZC15202302	196
DDTCZZC13020360	DDTCZZC126471MT	DDTCZZC128334PT	197
DDTCZZC15203758	DDTCZZC13020457	DDTCZZC13020360	198
DDTCZZC16209963	DDTCZZC15203416	DDTCZZC15203758	199
DDTCZZC17211397	DDTCZZC16207268	DDTCZZC16209963	200
DDTCZZC18219704	DDTCZZC17210069	DDTCZZC17211397	201
DDTCZZC14200392	DDTCZZC13020471	DDTCZZC13020351	202
