ID	HTD	CDSD	DIMph	AGE	lg0	lg1	lg2	lg3	lg4	Milkyield
31115199	12220192	20194	1	26	0.707106781	-1.150475758	1.302332691	-1.24102416	1.002838936	40
31115199	12220193	20194	3	27	0.707106781	-0.890690909	0.463852893	0.241759981	-0.815663104	46
31115199	12220194	20194	5	28	0.707106781	-0.668018182	-0.084970248	0.771664127	-0.749739226	45
31115199	12220195	20194	7	29	0.707106781	-0.452767879	-0.466445888	0.80113344	-0.118385884	50
31115200	12220191	20194	1	25	0.707106781	-1.217277576	1.552439236	-1.803312898	1.994481253	13
31115200	12220192	20194	3	26	0.707106781	-0.987182424	0.750373418	-0.187496214	-0.455184618	25
31115200	12220193	20194	5	27	0.707106781	-0.727397576	0.046050388	0.68679617	-0.855794635	39
31115200	12220194	20194	7	28	0.707106781	-0.504724848	-0.387781238	0.829134701	-0.287879931	41
31115200	12220195	20194	9	29	0.707106781	-0.289474545	-0.658098413	0.601532568	0.380033336	39
31115201	12220191	20194	1	25	0.707106781	-1.150475758	1.302332691	-1.24102416	1.002838936	27
31115201	12220192	20194	3	26	0.707106781	-0.920380606	0.548876922	0.123811929	-0.736958648	29
31115201	12220193	20194	6	27	0.707106781	-0.660595758	-0.100563794	0.779676981	-0.733344855	36
31115201	12220194	20194	8	28	0.707106781	-0.43792303	-0.487353436	0.789609756	-0.069902829	37
31115201	12220195	20194	9	29	0.707106781	-0.222672727	-0.712196694	0.482114382	0.542658561	37
31115400	12220191	20194	1	25	0.707106781	-1.135630909	1.248669983	-1.12688263	0.816968107	29
31115400	12220192	20194	3	26	0.707106781	-0.905535758	0.506016448	0.18431023	-0.779615073	41
31115400	12220193	20194	6	27	0.707106781	-0.645750909	-0.131228198	0.794040981	-0.69876529	40
31115400	12220194	20194	8	28	0.707106781	-0.423078182	-0.507564066	0.776611773	-0.02166476	39
31115400	12220195	20194	10	29	0.707106781	-0.207827879	-0.722302009	0.453355147	0.574106678	38
31115401	12220195	20191	2	29	0.707106781	-1.091096364	1.091863372	-0.807197222	0.328291061	24
31115407	12220191	20194	1	25	0.707106781	-1.17274303	1.384133473	-1.419514242	1.304453954	27
31115407	12220192	20194	3	26	0.707106781	-0.942647879	0.614474354	0.027239124	-0.659935115	39
31115407	12220193	20194	5	28	0.707106781	-0.68286303	-0.053260466	0.753945473	-0.78060267	39
31115407	12220194	20194	7	29	0.707106781	-0.460190303	-0.45573077	0.806326802	-0.142674393	40
31115407	12220195	20194	9	30	0.707106781	-0.24494	-0.695732	0.523832034	0.4921416	40
31115408	12220192	20194	2	26	0.707106781	-1.091096364	1.091863372	-0.807197222	0.328291061	32
31115408	12220193	20194	4	28	0.707106781	-0.831311515	0.302167853	0.442073015	-0.899517004	36
31115408	12220194	20194	6	29	0.707106781	-0.608638788	-0.204840191	0.820549203	-0.603089977	36
31115408	12220195	20194	8	30	0.707106781	-0.393388485	-0.545894571	0.746392816	0.073523489	36
31115410	12220191	20194	1	26	0.707106781	-1.180165455	1.41174886	-1.480976668	1.411262451	31
31115410	12220192	20194	3	27	0.707106781	-0.950070303	0.636688624	-0.006530227	-0.630633011	10
31115410	12220193	20194	5	28	0.707106781	-0.690285455	-0.037144231	0.74422718	-0.79501705	37
31115410	12220194	20194	7	29	0.707106781	-0.467612727	-0.444841421	0.811132849	-0.16696968	38
31115410	12220195	20194	9	30	0.707106781	-0.252362424	-0.689895309	0.537333944	0.474448234	39
31115411	122201812	20183	2	24	0.707106781	-1.098518788	1.117562233	-0.858145899	0.402820719	8
31115411	12220191	20183	4	26	0.707106781	-0.838733939	0.32176868	0.419548314	-0.893946476	37
31115411	12220192	20183	6	27	0.707106781	-0.608638788	-0.204840191	0.820549203	-0.603089977	40
31115411	12220193	20183	8	28	0.707106781	-0.348853939	-0.598163442	0.691256548	0.211138847	33
31115411	12220194	20183	10	29	0.707106781	-0.126181212	-0.765423827	0.284012796	0.712090345	37
31115411	12220195	20183	12	30	0.707106781	0.089069091	-0.778055471	-0.202291259	0.753671767	37
31115693	12220191	20194	1	26	0.707106781	-1.180165455	1.41174886	-1.480976668	1.411262451	31
31115693	12220192	20194	3	27	0.707106781	-0.950070303	0.636688624	-0.006530227	-0.630633011	24
31115693	12220193	20194	5	28	0.707106781	-0.690285455	-0.037144231	0.74422718	-0.79501705	38
31115693	12220194	20194	7	29	0.707106781	-0.467612727	-0.444841421	0.811132849	-0.16696968	38
31115693	12220195	20194	9	30	0.707106781	-0.252362424	-0.689895309	0.537333944	0.474448234	39
31115694	122201812	20183	2	25	0.707106781	-1.046561818	0.941329025	-0.520571086	-0.064505138	17
31115694	12220191	20183	4	26	0.707106781	-0.78677697	0.188221715	0.562746854	-0.906793369	35
31115694	12220193	20183	9	28	0.707106781	-0.29689697	-0.651216345	0.613666378	0.360037523	37
31115694	12220194	20183	11	29	0.707106781	-0.074224242	-0.781888522	0.169034164	0.766393703	38
31115694	12220195	20183	13	30	0.707106781	0.141026061	-0.759151563	-0.316001744	0.69163865	37
31115699	12220186	20182	2	24	0.707106781	-1.061406667	0.990810222	-0.612523172	0.056358489	10
31115699	12220188	20182	6	26	0.707106781	-0.608638788	-0.204840191	0.820549203	-0.603089977	33
31115699	12220189	20182	7	27	0.707106781	-0.460190303	-0.45573077	0.806326802	-0.142674393	33
31115699	122201810	20182	10	28	0.707106781	-0.170715758	-0.744516279	0.378505341	0.644422879	32
31115699	122201811	20182	11	29	0.707106781	0	-0.7906	0	0.7954875	33
31115699	122201812	20182	13	30	0.707106781	0.207827879	-0.722302009	-0.453355147	0.574106678	31
31115699	12220191	20182	16	31	0.707106781	0.467612727	-0.444841421	-0.811132849	-0.16696968	31
31115699	12220192	20182	18	32	0.707106781	0.697707879	-0.020853767	-0.733927913	-0.808716239	30
31115699	12220193	20182	20	33	0.707106781	0.957492727	0.659077124	0.041099197	-0.599453503	27
31117447	12220186	20182	1	-99999	0.707106781	-1.2247	1.5811	-1.870828693	2.1213	10
31117447	12220188	20182	5	-99999	0.707106781	-0.771932121	0.151633506	0.597607352	-0.900042463	27
31117447	12220189	20182	6	-99999	0.707106781	-0.623483636	-0.175918083	0.811526412	-0.642813304	36
31117447	122201810	20182	8	-99999	0.707106781	-0.334009091	-0.614192562	0.670462274	0.255147142	30
31117447	122201811	20182	10	-99999	0.707106781	-0.163293333	-0.748436444	0.363079346	0.657000656	33
31117447	122201812	20182	12	-99999	0.707106781	0.044534545	-0.787463868	-0.101820308	0.784984884	31
31117447	12220191	20182	14	-99999	0.707106781	0.304319394	-0.644160048	-0.625550308	0.339697761	36
31117447	12220192	20182	16	-99999	0.707106781	0.534414545	-0.338996959	-0.835927303	-0.382734187	40
31117447	12220193	20182	19	-99999	0.707106781	0.794199394	0.206777164	-0.54432645	-0.908528828	23
31117448	12220187	20182	2	26	0.707106781	-1.105941212	1.143435324	-0.910019137	0.480057183	10
31117448	12220188	20182	4	27	0.707106781	-0.78677697	0.188221715	0.562746854	-0.906793369	47
31117448	12220189	20182	6	28	0.707106781	-0.638328485	-0.146299056	0.80040462	-0.680632986	46
31117448	122201810	20182	8	29	0.707106781	-0.348853939	-0.598163442	0.691256548	0.211138847	43
31117448	122201811	20182	10	30	0.707106781	-0.178138182	-0.740421884	0.393787653	0.631340231	45
31117448	122201812	20182	12	31	0.707106781	0.029689697	-0.789206163	-0.067963499	0.790815664	32
31117448	12220191	20182	14	32	0.707106781	0.289474545	-0.658098413	-0.601532568	0.380033336	42
31117448	12220192	20182	16	33	0.707106781	0.519569697	-0.363737557	-0.833405586	-0.335610987	36
31117448	12220193	20182	18	34	0.707106781	0.779354545	0.169840496	-0.580505072	-0.903954013	31
31117449	12220185	20181	1	24	0.707106781	-1.165320606	1.356692316	-1.359038847	1.200812039	29
31117449	12220186	20181	3	25	0.707106781	-0.912958182	0.52735957	0.154445272	-0.759131278	35
31117449	12220187	20181	4	26	0.707106781	-0.779354545	0.169840496	0.580505072	-0.903954013	37
31117449	12220188	20181	7	27	0.707106781	-0.460190303	-0.45573077	0.806326802	-0.142674393	30
31117449	12220189	20181	9	28	0.707106781	-0.311741818	-0.636929521	0.637178109	0.31902622	37
31117449	122201810	20181	11	29	0.707106781	-0.022267273	-0.789815967	0.050994489	0.792858803	35
31117449	122201811	20181	13	30	0.707106781	0.148448485	-0.755754086	-0.331821301	0.680614852	38
31117449	122201812	20181	15	31	0.707106781	0.356276364	-0.589887537	-0.701216393	0.188749046	37
31117449	12220191	20181	17	32	0.707106781	0.616061212	-0.190466252	-0.816297059	-0.623177012	37
31117449	12220192	20181	19	33	0.707106781	0.846156364	0.341543736	-0.3963177	-0.887041713	34
31sh42012367	26320181	20173	4	26	0.707106781	-0.875846061	0.422386255	0.296211159	-0.845393634	33
31sh42012367	26320182	20173	6	27	0.707106781	-0.608638788	-0.204840191	0.820549203	-0.603089977	35
31sh42012367	26320183	20173	8	28	0.707106781	-0.430500606	-0.497545866	0.783291928	-0.045744344	40
31sh42012367	26320184	20173	9	28	0.707106781	-0.259784848	-0.683884389	0.550623455	0.456344206	36
31sh42012367	26320185	20173	11	29	0.707106781	-0.066801818	-0.783543702	0.152308788	0.771902255	39
31sh42012367	26320186	20173	13	30	0.707106781	0.155870909	-0.75218238	-0.347515917	0.6690668	37
31sh42012367	26320187	20173	15	31	0.707106781	0.356276364	-0.589887537	-0.701216393	0.188749046	36
31sh42012367	26320188	20173	17	32	0.707106781	0.571526667	-0.274096444	-0.834251017	-0.496750844	29
31sh42012367	26320189	20173	19	34	0.707106781	0.890690909	0.463852893	-0.241759981	-0.815663104	32
310204130289	26320181	20173	5	26	0.707106781	-0.73482	0.063212	0.67349833	-0.8654904	29
310204130289	26320182	20173	7	27	0.707106781	-0.467612727	-0.444841421	0.811132849	-0.16696968	35
310204130289	26320183	20173	9	28	0.707106781	-0.289474545	-0.658098413	0.601532568	0.380033336	36
310204130289	26320184	20173	10	29	0.707106781	-0.118758788	-0.768298615	0.267855899	0.721507425	36
310204130289	26320185	20173	12	29	0.707106781	0.074224242	-0.781888522	-0.169034164	0.766393703	34
310204130289	26320186	20173	14	30	0.707106781	0.29689697	-0.651216345	-0.613666378	0.360037523	33
310204130289	26320187	20173	16	31	0.707106781	0.497302424	-0.399541734	-0.826358939	-0.263838483	35
310204130289	26320188	20173	18	32	0.707106781	0.712552727	0.012249851	-0.711561471	-0.833856356	27
31sh42010397	26320181	20173	5	26	0.707106781	-0.764509697	0.133600746	0.614059941	-0.895090123	24
31sh42010397	26320182	20173	7	28	0.707106781	-0.497302424	-0.399541734	0.826358939	-0.263838483	26
31sh42010397	26320183	20173	9	28	0.707106781	-0.319164242	-0.629524764	0.648543535	0.298035373	33
31sh42010397	26320184	20173	10	29	0.707106781	-0.148448485	-0.755754086	0.331821301	0.680614852	34
31sh42010397	26320185	20173	12	30	0.707106781	0.044534545	-0.787463868	-0.101820308	0.784984884	32
31sh42010397	26320186	20173	14	31	0.707106781	0.267207273	-0.67769924	-0.563694319	0.437839884	25
31sh42010397	26320187	20173	16	32	0.707106781	0.467612727	-0.444841421	-0.811132849	-0.16696968	26
31sh42010397	26320188	20173	18	33	0.707106781	0.68286303	-0.053260466	-0.753945473	-0.78060267	21
31sh42010397	26320189	20173	20	34	0.707106781	1.002027273	0.797066942	0.265654863	-0.370767482	23
31sh42013276	26320181	20173	4	26	0.707106781	-0.853578788	0.361493021	0.372374924	-0.878768605	45
31sh42013276	26320182	20173	6	28	0.707106781	-0.586371515	-0.246916632	0.830257084	-0.540370826	36
31sh42013276	26320183	20173	8	28	0.707106781	-0.408233333	-0.527077778	0.762189468	0.026188889	42
31sh42013276	26320184	20173	9	29	0.707106781	-0.237517576	-0.701394461	0.510123972	0.509414237	46
31sh42013276	26320185	20173	11	30	0.707106781	-0.044534545	-0.787463868	0.101820308	0.784984884	47
31sh42013276	26320186	20173	13	31	0.707106781	0.178138182	-0.740421884	-0.393787653	0.631340231	44
31sh42013276	26320187	20173	15	32	0.707106781	0.378543636	-0.564014446	-0.729271795	0.120209222	39
31sh42013276	26320188	20173	17	33	0.707106781	0.593793939	-0.233065381	-0.827522968	-0.561662543	35
31sh42013276	26320189	20173	20	34	0.707106781	0.912958182	0.52735957	-0.154445272	-0.759131278	37
310204100162	26320181	20174	3	27	0.707106781	-0.920380606	0.548876922	0.123811929	-0.736958648	42
310204100162	26320182	20174	6	28	0.707106781	-0.653173333	-0.115983111	0.78713385	-0.716344678	35
310204100162	26320183	20174	7	29	0.707106781	-0.475035152	-0.433777844	0.815545333	-0.191252966	40
310204100162	26320184	20174	9	30	0.707106781	-0.304319394	-0.644160048	0.625550308	0.339697761	42
310204100162	26320185	20174	10	30	0.707106781	-0.111336364	-0.770999174	0.25159905	0.730378615	43
310204100162	26320186	20174	12	31	0.707106781	0.111336364	-0.770999174	-0.25159905	0.730378615	41
310204100162	26320187	20174	14	32	0.707106781	0.311741818	-0.636929521	-0.637178109	0.31902622	37
310204100162	26320188	20174	16	33	0.707106781	0.526992121	-0.351454373	-0.834888214	-0.359259124	27
310204100162	26320189	20174	19	35	0.707106781	0.846156364	0.341543736	-0.3963177	-0.887041713	31
310204140032	26320181	20173	6	27	0.707106781	-0.660595758	-0.100563794	0.779676981	-0.733344855	33
310204140032	26320182	20173	8	28	0.707106781	-0.393388485	-0.545894571	0.746392816	0.073523489	35
310204140032	26320183	20173	10	29	0.707106781	-0.215250303	-0.717336466	0.467825346	0.558611615	29
310204140032	26320184	20173	11	30	0.707106781	-0.044534545	-0.787463868	0.101820308	0.784984884	30
310204140032	26320185	20173	13	30	0.707106781	0.148448485	-0.755754086	-0.331821301	0.680614852	31
